JusticeName,StateAppointedFrom,AppointedByPresident,OathTakenOn,DateServiceTerminated,YearIN
"Jay, John",New York,Washington,"October 19, 1789 ","June 29, 1795",1789
"Rutledge, John",South Carolina,Washington,"August 12, 1795 ","December 15, 1795",1795
"Ellsworth, Oliver",Connecticut,Washington,"March 8, 1796 ","December 15, 1800",1796
"Marshall, John",Virginia,"Adams, John","February 4, 1801 ","July 6, 1835",1801
"Taney, Roger Brooke",Maryland,Jackson,"March 28, 1836 ","October 12, 1864",1836
"Chase, Salmon Portland",Ohio,Lincoln,"December 15, 1864 ","May 7, 1873",1864
"Waite, Morrison Remick",Ohio,Grant,"March 4, 1874 ","March 23, 1888",1874
"Fuller, Melville Weston",Illinois,Cleveland,"October 8, 1888 ","July 4, 1910",1888
"White, Edward Douglass",Louisiana,Taft,"December 19, 1910 ","May 19, 1921",1910
"Taft, William Howard",Connecticut,Harding,"July 11, 1921 ","February 3, 1930",1921
"Hughes, Charles Evans",New York,Hoover,"February 24, 1930 ","June 30, 1941",1930
"Stone, Harlan Fiske",New York,"Roosevelt, F.","July 3, 1941 ","April 22, 1946",1941
"Vinson, Fred Moore",Kentucky,Truman,"June 24, 1946 ","September 8, 1953",1946
"Warren, Earl",California,Eisenhower,"October 5, 1953 ","June 23, 1969",1953
"Burger, Warren Earl",Virginia,Nixon,"June 23, 1969 ","September 26, 1986",1969
"Rehnquist, William H.",Virginia,Reagan,"September 26, 1986 ","September 3, 2005",1986
"Roberts, John G., Jr.",Maryland,"Bush, G. W.","September 29, 2005 ","July 26, 2020",2005
"Rutledge, John",South Carolina,Washington,"February 15, 1790 ","March 5, 1791",1790
"Cushing, William",Massachusetts,Washington,"February 2, 1790 ","September 13, 1810",1790
"Wilson, James",Pennsylvania,Washington,"October 5, 1789 ","August 21, 1798",1789
"Blair, John",Virginia,Washington,"February 2, 1790 ","October 25, 1795",1790
"Iredell, James",North Carolina,Washington,"May 12, 1790 ","October 20, 1799",1790
"Johnson, Thomas",Maryland,Washington ,"August 6, 1792 ","January 16, 1793",1792
"Paterson, William",New Jersey,Washington,"March 11, 1793 ","September 9, 1806",1793
"Chase, Samuel",Maryland,Washington,"February 4, 1796 ","June 19, 1811",1796
"Washington, Bushrod",Virginia,"Adams, John","November 9, 1798 ","November 26, 1829",1798
"Moore, Alfred",North Carolina,"Adams, John","April 21, 1800 ","January 26, 1804",1800
"Johnson, William",South Carolina,Jefferson,"May 7, 1804 ","August 4, 1834",1804
"Livingston, Brockholst",New York,Jefferson,"January 20, 1807 ","March 18, 1823",1807
"Todd, Thomas",Kentucky,Jefferson,"May 4, 1807 ","February 7, 1826",1807
"Duvall, Gabriel",Maryland,Madison,"November 23, 1811 ","January 14, 1835",1811
"Story, Joseph",Massachusetts,Madison,"February 3, 1812 ","September 10, 1845",1812
"Thompson, Smith",New York,Monroe,"September 1, 1823 ","December 18, 1843",1823
"Trimble, Robert",Kentucky,"Adams, J. Q.","June 16, 1826 ","August 25, 1828",1826
"McLean, John",Ohio,Jackson,"January 11, 1830 ","April 4, 1861",1830
"Baldwin, Henry",Pennsylvania,Jackson,"January 18, 1830 ","April 21, 1844",1830
"Wayne, James Moore",Georgia,Jackson,"January 14, 1835 ","July 5, 1867",1835
"Barbour, Philip Pendleton",Virginia,Jackson,"May 12, 1836 ","February 25, 1841",1836
"Catron, John",Tennessee,Jackson,"May 1, 1837 ","May 30, 1865",1837
"McKinley, John",Alabama,Van Buren,"January 9, 1838 ","July 19, 1852",1838
"Daniel, Peter Vivian",Virginia,Van Buren,"January 10, 1842 ","May 31, 1860",1842
"Nelson, Samuel",New York,Tyler,"February 27, 1845 ","November 28, 1872",1845
"Woodbury, Levi",New Hampshire,Polk,"September 23, 1845 ","September 4, 1851",1845
"Grier, Robert Cooper",Pennsylvania,Polk,"August 10, 1846 ","January 31, 1870",1846
"Curtis, Benjamin Robbins",Massachusetts,Fillmore,"October 10, 1851 ","September 30, 1857",1851
"Campbell, John Archibald",Alabama,Pierce,"April 11, 1853 ","April 30, 1861",1853
"Clifford, Nathan",Maine,Buchanan,"January 21, 1858 ","July 25, 1881",1858
"Swayne, Noah Haynes",Ohio,Lincoln,"January 27, 1862 ","January 24, 1881",1862
"Miller, Samuel Freeman",Iowa,Lincoln,"July 21, 1862 ","October 13, 1890",1862
"Davis, David",Illinois,Lincoln,"December 10, 1862 ","March 4, 1877",1862
"Field, Stephen Johnson",California,Lincoln,"May 20, 1863 ","December 1, 1897",1863
"Strong, William",Pennsylvania,Grant,"March 14, 1870 ","December 14, 1880",1870
"Bradley, Joseph P.",New Jersey,Grant,"March 23, 1870 ","January 22, 1892",1870
"Hunt, Ward",New York,Grant,"January 9, 1873 ","January 27, 1882",1873
"Harlan, John Marshall",Kentucky,Hayes,December 10 1877 ,"October 14, 1911",1877
"Woods, William Burnham",Georgia,Hayes,"January 5, 1881 ","May 14, 1887",1881
"Matthews, Stanley",Ohio,Garfield,"May 17, 1881 ","March 22, 1889",1881
"Gray, Horace",Massachusetts,Arthur,"January 9, 1882 ","September 15, 1902",1882
